Run,Event,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,M
201613,3634214,-11,82.5174,53.6388,-4.18079,62.5661,53.8015,0.992007,-0.077786,1,11,43.2942,-42.7485,0.481254,-6.83524,42.7512,-0.159211,3.13034,-1,11,48.147,-35.7074,-17.3561,27.2376,39.702,0.641201,-2.68915,-1,-11,50.9444,19.7616,22.4126,41.2612,29.8805,1.12681,0.848175,1,90.6814,81.5061,187.406
199754,121019123,-11,118.329,-107.615,41.7555,26.0241,115.432,0.223583,2.77147,1,11,111.524,-95.1176,-49.4506,30.7392,107.204,0.282945,-2.66216,-1,11,95.4214,-18.3328,34.999,-86.8575,39.5098,-1.52899,2.05331,-1,-11,19.7097,15.8265,-9.47254,6.94734,18.4447,0.368276,-0.539332,1,91.9275,78.8141,275.749
200991,970724930,-11,178.115,52.6101,1.214,170.164,52.6241,1.88983,0.0230713,1,11,57.561,38.2062,3.32027,42.9247,38.3502,0.963256,0.086686,-1,11,87.456,-29.6576,-23.1188,78.9589,37.6039,1.48738,-2.47946,-1,-11,45.5871,-13.6278,31.0331,-30.4863,33.8935,-0.808475,1.98458,1,93.2768,86.3673,255.197
199752,232018566,11,154.546,110.834,63.8673,-86.7254,127.919,-0.634528,0.522768,-1,-11,137.374,-54.9674,2.72188,-125.868,55.0348,-1.56511,3.09211,1,11,38.7598,-27.4407,27.0875,3.94871,38.5581,0.102231,2.36267,-1,-11,87.7074,16.3727,5.97778,-85.958,17.4299,-2.29895,0.350068,1,92.0816,88.3589,276.259
199754,873005082,11,242.058,17.3676,-122.559,-208.013,123.784,-1.29087,-1.43003,-1,11,206.793,-83.5358,83.4406,-169.773,118.07,-1.15981,2.35676,-1,-11,90.8296,-47.5731,-31.2364,-70.7891,56.9114,-1.04374,-2.56059,1,-11,23.9943,-20.5706,8.32019,9.12982,22.1895,0.400644,2.75724,1,90.5453,92.2912,320.513
202299,421267699,-11,46.8241,32.8725,-27.2768,-19.1802,42.7156,-0.435157,-0.692635,1,11,100.604,-33.0422,14.5218,-93.9073,36.0926,-1.68441,2.72751,-1,11,49.5871,15.998,-3.88096,-46.7748,16.4621,-1.76705,-0.237992,-1,-11,18.375,-11.1547,-3.25374,-14.2348,11.6195,-1.03192,-2.85777,1,93.7213,28.6762,125.164
199608,813802208,-11,123.18,-46.294,-42.134,-106.089,62.5972,-1.29817,-2.4032,1,11,47.9363,35.3628,-4.2591,-32.0816,35.6183,-0.80939,-0.119863,-1,-11,58.5267,14.1325,25.9269,50.5317,29.5285,1.30653,1.07173,1,11,21.4017,-10.3329,11.7194,14.626,15.6241,0.835472,2.2934,-1,91.6879,89.8593,239.927
201278,1723198502,-11,43.6287,40.2628,-8.59506,14.4392,41.17,0.343901,-0.210317,1,11,24.168,-22.2587,7.37674,-5.85013,23.4493,-0.246962,2.82158,-1,11,10.9267,-4.12363,10.0322,-1.32002,10.8467,-0.1214,1.96078,-1,-11,10.824,-8.28312,-5.41336,-4.38675,9.89518,-0.429952,-2.56273,1,64.7841,16.2869,89.2609
201707,805047482,11,63.7193,-1.63931,37.687,51.3532,37.7227,1.1153,1.61427,-1,-11,65.6718,5.6909,-36.1506,54.5301,36.5958,1.18924,-1.41466,1,11,37.346,-26.3683,-12.9181,23.0772,29.3626,0.72165,-2.68605,-1,-11,33.6273,-16.6178,-22.6038,18.5395,28.055,0.620279,-2.20474,1,74.2429,13.9874,125.374
198271,232701194,-11,164.593,49.7445,-7.77135,156.703,50.3479,1.85341,-0.154973,1,11,42.3992,-33.8781,-3.38727,25.2684,34.0471,0.686865,-3.04194,-1,11,33.7477,-8.33709,31.6888,8.07586,32.7671,0.244033,1.82806,-1,-11,21.0988,12.2886,-16.0215,6.12057,20.1915,0.298666,-0.9165,1,96.7253,50.4531,172.234
